Date,City,Cause of Death
4/12/06,Higuera Blanca -  Nayarit -  Mexico,Drowning
4/14/06,Playa Del Carmen -  Quintana Ree -  Mexico,Drowning
4/15/06,Puerto Penasco -  Sonora -  Mexico,Veh. Accident
4/17/06,Quintana Roo -  Mexico,Drowning
4/19/06,Carreteras Anahuac Y Mex-dos -  Nuevo Laredo -  Tamaulipas -  Mexico,Veh. Accident-Auto
4/19/06,Nuevo Leon -  Tamaulipas -  Mexico,Veh. Accident-Auto
4/19/06,Puerto Vallarta -  Jalisco -  Mexico,Homicide
4/28/06,Tijuana -  Baja California Norte -  Mexico,Homicide
4/29/06,Cerralvo -  Nuevo Leon -  Mexico,Veh. Accident-Auto
4/30/06,Ensenada -  Baja California Norte -  Mexico,Veh. Accident-Auto
5/7/06,Tecoman -  Colima -  Mexico,Suicide
5/8/06,La Paz -  Baja California Sur -  Mexico,Veh. Accident-Auto
5/9/06,Carbo -  Sonora -  Mexico,Veh. Accident-Auto
5/12/06,Valladolid -  Yucatan -  Mexico,Veh. Accident-Auto
5/14/06,Los Mochis -  Sinaloa -  Mexico,Veh. Accident-Auto
5/14/06,San Felipe -  Baja California Norte -  Mexico,Veh. Accident-Auto
5/17/06,Guerrero Negro -  Baja California Sur -  Mexico,Veh. Accident-Auto
5/18/06,Tijuana -  Baja California Norte -  Mexico,Homicide
5/20/06,Mexicali -  Baja California Norte -  Mexico,Homicide
5/22/06,Playa Del Carmen -  Quintana Roo -  Mexico,Veh. Accident-Auto
5/25/06,Ilsa Mujreres -  Quintana Roo -  Mexico,Drowning
5/27/06,Puerto Vallarta -  Jalisco -  Mexico,Suicide
5/29/06,Tecate -  Baja California Norte -  Mexico,Homicide
6/1/06,Ensendada -  Baja California Norte -  Mexico,Suicide
6/2/06,San Jose Del Cabo -  Baja California Sur -  Mexico,Drowning
6/3/06,Nuevo Laredo-piedras Negras Highway At Kilometer 34 -  Tamaulipas -  Mexico,Veh. Accident-Auto
6/4/06,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
6/8/06,Tula -  Hidalgo -  Mexico,Homicide
6/12/06,Ensenada -  Baja California -  Mexico,Veh. Accident-Pedestrian
6/16/06,Salahua -  Manzanillo -  Cotima -  Mexico,Veh. Accident-Pedestrian
6/21/06,Cancun -  Quintana Roo -  Mexico åÂ‰ÛÊåÂ‰ÛÊ,Other Accid.-Fall
6/24/06,Km. 91 Carretera Tecate-ensenada - åÂ‰ÛÊbaja California Norte -  MexicoåÂ‰ÛÊåÂ‰ÛÊ,Veh. Accident-Auto
7/3/06,Beach Of Cerro -  El Indio -  Mexico,Other Accident
7/3/06,Sanatorio La Luz -  Veracruz -  Mexico,Other Accident
7/4/06,Agualeguas -  Nuevo Leon -  Mexico,Homicide
7/4/06,Tijuana -  Baja California -  Mexico,Homicide
7/6/06,Vista Hermosa Ciuadad Juarez -  Mexico,Drowning
7/7/06,Bahia De Kino Sonora -  Mexico,Other Accident
7/7/06,Cabo San Lucas -  Baja California Sur -  Mexico.,Drowning
7/8/06,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
7/9/06,Cancun - qunitana Roo -  Mexico,Veh. Accident-Auto
7/9/06,Km 92+600 Hwy -  Ciudad Juarez -  Chihuahua -  Mexico,Veh. Accident-Auto
7/9/06,Km 92+600 Hwy -  Ciudad Juarez -  Chihuahua -  Mexico,Veh. Accident-Auto
7/9/06,San Pedro Cholula -  Pueblo -  Mexico,Suicide
7/10/06,Cosamaloapan -  Veracruz -  Mexico,Homicide
7/11/06,Rio Verde -  San Luis Potosi -  Mexico,Veh. Accident-Auto
7/12/06,Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
7/12/06,Playa Del Mar -  Quintana Roo -  Mexico,Drug-Related
7/12/06,Tijuana -  Baja Califonia -  Mexico,Homicide
7/13/06,Cabo Sn Lucas -  Baja California -  Mexico,Drowning
7/15/06,Ecatopac -  Estado De Mexico,Homicide
7/15/06,Km 182.6 Guaymas -  Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
7/15/06,Km 182.6 Guaymas -  Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
7/15/06,Tecate -  Baja California -  Mexico,Veh. Accident-Motorcycle
7/15/06,Tijuana -  Baja California -  Mexico,Veh. Accident-Auto
7/17/06,Ciudad Obregon -  Mexico,Veh. Accident-Auto
7/17/06,Km 26.45 Hwy 15,Veh. Accident-Auto
7/19/06,Isla Mujeres -  Quintana Roo -  Mexico,Drowning
7/20/06,Km 159+ Parral Hwy Rodeo -  Durango -  Mexico,Veh. Accident-Auto
7/21/06,Bucerias -  Nayarit -  Mexico,Other Accident
7/21/06,Nuevo Leon -  Mexico,Veh. Accident-Auto
7/22/06,Guadalajara Jal. -  Mexico,Other Accident
7/26/06,Morelia -  Michoacan -  Mexico,Homicide
7/30/06,Boulevard Benito -  Peurto Penasco -  Mexico,Veh. Accident-Auto
7/30/06,Km46+300 -  Sonoyto -  Sonora -  Mexico,Veh. Accident-Auto
7/30/06,Km46+300 -  Sonoyto -  Sonora -  Mexico,Veh. Accident-Auto
7/30/06,Km46+300 -  Sonoyto -  Sonora -  Mexico,Veh. Accident-Auto
7/30/06,Km46+300 -  Sonoyto -  Sonora -  Mexico,Veh. Accident-Auto
7/30/06,Km46+300 -  Sonoyto -  Sonora -  Mexico,Veh. Accident-Auto
8/5/06,Ciudad Juarez -  Chihuahua -  Mexico,Veh. Accident-Auto
8/5/06,Pedro Rosales De Leon Street -  Ciudad Juarez -  Mexico,Veh. Accident-Auto
8/5/06,Rio Bravo -  Tamaulipas -  Mexico,Veh. Accident-Auto
8/8/06,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
8/8/06,Tijuana -  Baja California -  Mexico,Suicide
8/9/06,Cancun Quintana Roo -  Mexico,Drowning
8/10/06,La Campina -  Culiacan -  Sinaloa -  Mexico,Veh. Accident-Motorcycle
8/10/06,Municipio Jose Azueta -  Ixtlan -  Oaxaca -  Mexico,Drowning
8/12/06,Puerto Morelos -  Quintana Roo -  Mexico,Drowning
8/13/06,Huasabas -  Sonora -  Mexico,Veh. Accident-Auto
8/22/06,57 Hwy -  San Rafael -  Galena -  Nuevo Laredo -  Mexico,Veh. Accident-Auto
8/22/06,Hwy57 -  Galeana -  Nuevo Lardo -  Mexico,Veh. Accident-Auto
8/22/06,San Quintin -  Baja California -  Mexico,Homicide
8/25/06,Ensenada -  Baja California -  Mexico,Homicide
8/25/06,Puerto Palomas -  Chihuahua -  Mexico,Homicide
8/27/06,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
8/27/06,Tijuana -  Baja California -  Mexico,Homicide
9/2/06,Mexico City -  Mexico,Homicide
9/3/06,Mulege -  Baja California Sur -  Mexico,Drowning
9/3/06,Tijuana -  Baja California -  Mexico,Homicide
9/4/06,Tijuana -  Baja California -  Mexico,Homicide
9/5/06,Cancun -  Quintana Roo -  Mexico,Suicide
9/6/06,Cancun -  Quintana Roo -  Mexico,Drowning
9/8/06,Ensenada -  Baja California -  Mexico,Air Accident
9/8/06,Ensenada -  Baja California -  Mexico,Air Accident
9/8/06,Ensenada -  Baja California -  Mexico,Air Accident
9/8/06,Ensenada -  Baja California -  Mexico,Air Accident
9/8/06,Ensenada -  Baja California -  Mexico,Air Accident
9/8/06,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
9/10/06,Rosarito -  Baja California Norte -  Mexico,Homicide
9/13/06,Chihuahua -  Chihuahua -  Mexico,Veh. Accident-Auto
9/14/06,Tijuana -  Baja California -  Mexico,Homicide
9/20/06,Tijuana -  Baja California -  Mexico,Homicide
9/25/06,Km 56+500 Carretera Esenica -  Rosarito -  Tijuana -  Baja California -  Mexico,Veh. Accident-Auto
9/28/06,Tijuana -  Baja California -  Mexico,Suicide
10/1/06,Nogales -  Sonora -  Mexico,Veh. Accident-Auto
10/4/06,Km 106 Hwy Los Mochis-navajo-huatabambo -  Sonora -  Mexico,Veh. Accident-Auto
10/4/06,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
10/11/06,Baja California Sur -  Mexico,Drowning
10/13/06,Ajijic -  Chapala -  Jalisco -  Mexico,Homicide
10/14/06,San Felipe -  Baja California Norte -  Mexico,Veh. Accident-Auto
10/17/06,Camichin De Juaja Frwy -  Nayarit -  Mexico,Veh. Accident-Bus
10/22/06,Km 50 -  Mexicali -  Baja California -  Mexico,Veh. Accident-Motorcycle
10/22/06,Mexicali -  Baja California -  Mexico,Veh. Accident-Motorcycle
10/23/06,Cabo San Lucas -  Baja California Sur -  Mexico.,Drowning
10/27/06,Cozumel -  Quintana Roo -  Mexico,Drowning
10/27/06,Santa Lucia Del Camino -  Oazaca -  Mexico,Homicide
10/28/06,Rosarito -  Baja California Norte -  Mexico,Veh. Accident-Auto
10/31/06,Cancun -  Quintana Roo -  Mexico,Drowning
11/9/06,Bahia De Kino Sonora -  Mexico,Suicide
11/10/06,Port Of Entry Lukeville -  Lukeville -  Az,Veh. Accident-Motorcycle
11/12/06,Playa Armenta -  Mulege Baja California,Homicide
11/20/06,Barrio Tequisquiapan - san Luis Potosi -  Mexico,Veh. Accident-Auto
11/26/06,Los Ramone -  Nuevo Laredo -  Mexico,Veh. Accident-Auto
12/3/06,Bacum -  Sonora Mexico,Veh. Accident-Auto
12/21/06,Universitario Hospital -  Mexico,Veh. Accident-Auto
12/23/06,Km 000+050 -  National Haighway 57-d -  Mexico,Veh. Accident-Auto
12/23/06,Mexico City -  Mexico,Veh. Accident-Auto
12/24/06,Mexico City -  Mexico,Suicide
12/29/06,Carretera #15 Mexico- Nogales Sonora Km 176+350,Veh. Accident-Auto
12/30/06,Blvd. Lazaro Cadenas -  Mexico,Veh. Accident-Pedestrian
12/30/06,Cerro Tatkawi,Other Accident
1/2/07,Alamos -  Sonora,Suicide
1/2/07,Baja California Mexico,Suicide
1/2/07,Nueva Esmeralda -  Alamos -  Sonora,Suicide
1/2/07,Salamanca -  Gto -  Mexico,Veh. Accident-Auto
1/2/07,Tijuana -  Baja California -  Mexico,Homicide
1/3/07,Morelia -  Mich. -  Mexico,Other Accident
1/4/07,Km 103 + 900 Carretera Empalme-vicam -  Empalme -  Sonora,Veh. Accident-Auto
1/4/07,Km 103 + 900 Carretera Empalme-vicam -  Empalme -  Sonora,Veh. Accident-Auto
1/4/07,Km 103 + 900 Carretera Empalme-vicam -  Empalme -  Sonora,Veh. Accident-Auto
1/4/07,Semeson -  Calle 12 Avenida 7-8 -  Guaymas -  Sonora,Veh. Accident-Auto
1/5/07,Los Barriles -  Baja California,Other Accident
1/5/07,Tijuana -  Baja California,Homicide
1/6/07,Highway 57 Santa Maria Del Rio -  San Luis Potosi,Veh. Accident-Auto
1/6/07,Vinorama Drain -  Ejido San Miguel Ahoe -  Sinola,Homicide
1/7/07,Cancun -  Quintana Roo -  Mexico,Drowning-Pool
1/7/07,Cueravaca -  Mor -  Mexico,Suicide
1/10/07,åÂ‰ÛÊrancho La Carrera -  Zapotlanejo -  Jalisco,Air Accident
1/11/07,Carretera Federal 90 Canal De Coria -  Ira Puato -  Gto,Veh. Accident-Auto
1/12/07,Kilometro 116 + 600 Carretera 85 Mexico-laredo -  Sabinas Hidalgo -  Nuevo Leon,Veh. Accident-Auto
1/16/07,Nuevo Laredo -  Tamaulipas,Veh. Accident-Pedestrian
1/21/07,Ciudad Juarez -  Chihuahua,Execution
1/24/07,Bahia Kino -  Sanora -  Mexico,Suicide
2/2/07,Jalisco -  Mexico,Other Accident
2/4/07,Puerto Penasco -  Sonora,Drug-Related
2/8/07,åÂ‰ÛÊkm 18 Cerrito De Pescadores -  Venustiano -  Carranza Mich.,Veh. Accident-Auto
2/11/07,International Hwy -  Santa Ana -  Sonora,Veh. Accident-Auto
2/15/07,Cozumel -  Qunitana Roo -  Mexico,Drowning
2/15/07,Tijuana -  Baja California -  Mexico,Homicide
2/18/07,Puerto Penasco -  Sonora,Veh. Accident-Auto
2/19/07,Puerto Vallarta -  Jalisco,Other Accident
2/24/07,Nuevo Laredo -  Tamaulipas,Homicide
2/26/07,Ciudad Juarez -  Chihuahua,Veh. Accident-Motorcycle
3/1/07,San Miguel De Allende -  Gto -  Mexico,Suicide
3/4/07,Mazatlan -  Sinaloa,Homicide
3/4/07,Monterrey-saltillo Hwy -  Libramiento Noreste -  Santa Catarina -  Nuevo Leon,Veh. Accident-Auto
3/4/07,Reynosa -  Tamaulipas,Veh. Accident-Motorcycle
3/8/07,Carretera Constriction-la Paz Km 135 -  Ciudad Contitucion -  Baja California SuråÂ‰ÛÊ,Veh. Accident-Auto
3/8/07,Cozumel -  Qunitana Roo -  Mexico,Drowning
3/10/07,San Luis Rio Colorado -  SonoraåÂ‰ÛÊ,Homicide
3/16/07,Mazatlan -  Sinaloa,Veh. Accident-Auto
3/17/07,Rivera Maya -  Quintana Roo -  Mexico,Veh. Accid
3/18/07,Km 14 Carr Rosa De Castillo -  Cadereyta -  QroåÂ‰ÛÊ,Veh. Accident-Auto
3/18/07,Sonoyta -  Sonora -  Mexico,Veh. Accident-Auto
3/18/07,Tijuana -  Baja California -  Mexico,Homicide
3/19/07,Puente Grande -  Tonala Jalisco,Other Accident
3/19/07,Riviera May -  Quintana Roo,Drowning - Ocean
3/21/07,Akumal -  Qunitana Roo,Drowning
3/27/07,Chihuahua -  Mexico,Execution
3/29/07,Carretera Tamipico-mante Km 62-100 -  Altamira -  Tamps,Veh. Accident-Auto
3/30/07,åÂ‰ÛÊfreeway Guadalajara-melaque -  Mezquitan -  Autlan -  Jalisco,Veh. Accident-Auto
4/2/07,Cancun -  Quintana Roo,Drowning - Pool
4/2/07,åÂ‰ÛÊarivechi Hermosillo Hwy -  Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
4/4/07,Km 80-100 Hermosillo-nogales Hwy -  Hermosillo -  Sonora,Veh. Accident-Auto
4/4/07,San Jose Iturbide -  Mexico,Suicide
4/4/07,Veracruz Ver. -  Mexico,Suicide
4/5/07,Guadalajara -  Jalisco,Homicide
4/5/07,Guasave -  Sinaloa,Homicide
4/5/07,Guasave -  Sinaloa,Homicide
4/8/07,El Salado -  Municipio De Culiacan -  Sinaloa -  Mexico,Homicide
4/14/07,Guerrero Negro -  Baja California Sur,Veh. Accident-Auto
4/14/07,Riviera Maya -  Quintana Roo,Drowning - PoolåÂ‰ÛÊ
4/20/07,Freeway San Marcos-amatlan De Ca As  -  Km 2 -  San Marcos -  Jalisco,Veh. Accident-Auto
4/21/07,Pedregal Playita - Carretera Tijuana- Ensenada -  Baja California,Drowning - Ocean
4/29/07,Valle De Palmas -  Tecate -  Baja California,Veh. Accident-Motorcycle
5/1/07,Hwy 16 Hermosillo-la Colorada Km 9 -  Hermosillo -  Sonora,Veh. Accident-Auto
5/1/07,Playa Del Carmen -  Qunitana Roo,Drowning - Ocean
5/3/07,Baja California -  Mexico,Homicide
5/5/07,Puerto Penasco -  Sonora -  Mexico,Suicide
5/7/07,Colotlan -  Jalisco -  Sonora -  Mexico,Veh. Accident-Auto
5/7/07,Jerez - zacatecas -  Mexico,Veh. Accident-Auto
5/7/07,Navojoa -  Sonora -  Mexico,Veh. Accident-Auto
5/10/07,Puebla -  Mexico,Veh. Accident-Auto
5/10/07,San Felipe -  Baja California -  Mexico,Homicide
5/14/07,Nuevo Laredo -  Tamaulipas -  Mexico,Suicide
5/17/07,Col Nueva Banquetes -  La Piedad -  Mich -  Mexico,Suicide
5/17/07,Guadalajara -  Jalisco -  Mexico,Other Accident
5/17/07,Tulum -  Quintana Roo,Drowning
5/19/07,Hwy 15 Hermosillo-guaymas Km 214+50 -  Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
5/19/07,Hwy 15 Hermosillo-guaymas Km 214+50 -  Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
5/20/07,Isla Benedicto -  Mexican Pacific -  Mexico,Other Accident
5/20/07,Mulege -  Baja California -  Mexico,Veh. Accident-Auto
5/23/07,San Jose Del Cabo -  Baja California Sur -  Mexico,Drowning -Ocean
5/25/07,Carretera Monterrey-monclova In Salinas Victoria -  N.l. -  Mexico,Veh. Accident-Auto
5/25/07,Hwy 15 Hermosillo-guaymas Km 230 -  Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
5/26/07,Calle Simon Morua -  Puerto Penasco -  Sonora -  Mexico,Veh. Accident-Auto
5/30/07,San Andres Tototepec -  Mexico -  D.f.,Homicide
6/2/07,Autopista Tiuana-ensenada Km 63 -  Rosarito -  Baja California,Veh. Accident-Auto
6/2/07,Carretera Tijuana-ensenada Km 63 -  Rosarito -  Baja California,Veh. Accident-Auto
6/2/07,Tijuana - Ensenada Highway Km 43+800 -  Rosarito -  Baja California,Veh. Accident-Auto
6/2/07,åÂ‰ÛÊhighway Tijuana-ensenada Km 43+800 -  Rosarito -  Baja California,Veh. Accident-Auto
6/3/07,Playa Bagdad -  Matamoros -  Tamaulipas,Drowning - OceanåÂ‰ÛÊ
6/3/07,Sierra De San Pedro Matir -  Ensenada -  Baja California,Veh. Accident-Auto
6/5/07,Tijuana -  Baja California -  Mexico,Suicide
6/7/07,Ciudad Morelos -  Baja California -  Mexico,Veh. Accident-Auto
6/10/07,San Miguel De Allende -  Gto -  Mexico.,Suicide
6/10/07,Tijuana -  Baja California -  Mexico,Suicide
6/12/07,Mazatlan -  Sinaloa -  Mexico,Homicide
6/14/07,Punta Final -  Baja California -  Mexico,Air Accident
6/14/07,åÂ‰ÛÊpunta Final -  Baja California -  Mexico,Air Accident
6/18/07,Apozol -  Zacatecas -  MexicoåÂ‰ÛÊ,Drowning-POOL
6/18/07,Tijuana -  Baja California -  Mexico,Veh. Accident-Auto
6/18/07,åÂ‰ÛÊparral-durango Highway -  La Zarca -  Durango -  Mexico,Veh. Accident-Auto
6/20/07,Cancun Quintana Roo -  Mexico,Drowning
6/21/07,Km 22 Hermosillo-b. Kino Road -  Hermosillo -  Sonora -  Mexico,Veh. Accident-Auto
6/24/07,Magdalena -  Sonora -  Mexico,Homicide
6/24/07,Magdalena -  Sonora -  Mexico,Homicide
6/24/07,Merida -  Yucatan -  Mexico,Drug-Related
6/24/07,Puerto Penasco -  Sonora -  Mexico,Drowning
6/28/07,Playas De Tijuana -  Baja California -  Mexico,Homicide
6/28/07,Playas De Tijuana -  Baja California -  Mexico,Homicide
7/1/07,Tijuana -  Baja -  California -  Mexico,Suicide
7/3/07,Ejido Villa Jesus Maria -  Baja California -  Mexico,Veh. Accid-Motorcy.
7/3/07,Playa Blanca -  Zihuatanejo -  Mexico,Drowning
7/4/07,Lapaz -  Baja California Sur -  Mexico,Suicide
7/4/07,Zapopan -  Jalisco -  Mexico,Veh. Accid-Auto
7/5/07,La Paz -  Baja California Sur -  Mexico,Suicide
7/6/07,Baja California -  Mexico,Drowning
7/8/07,86 KmåÂ‰ÛÊ Chihuahua- Ciudad Juarez Hwy -  Chihuahua -  Mexico,Veh. Accid-Bus
7/9/07,Hermosillo -  Sonora -  Mexico,Veh. Accid-Auto
7/9/07,Los Muertos Beach -  Puerto Vallarta -  Jalisco -  Mexico,Drowning
7/10/07,Hermosillo -  Sonora -  Mexico,Veh. Accid-Auto
7/10/07,Pacific Ocean -  Puerto Escondido -  Oax -  Mexico,DROWNING-Ocean
7/10/07,Tijuana -  Baja California -  Mexico,Suicide
7/12/07,Monterrey-nuevo Laredo Highway -  Escobedo -  Nuevo Leon,Veh. Accid-Auto
7/13/07,Chapala-guadaljara Freeway -  Jalisco -  Mexico,Veh. Accid-Auto
7/14/07,Cozumel -  Quintana Roo -  Mexico,Drowning
7/14/07,Monterrey -  Nuevo Leon -  Mexico,Veh. Accid-Auto
7/14/07,Rio Bravo-reynosa Highway -  Reynosa -  Tamaulipas -  Mexico,Veh. Accid-Pedestr.
7/15/07,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
7/15/07,Piedras Negras Highway -  Villa Hidalgo -  San Luis Potosi -  Mexico,Veh. Accid-Auto
7/16/07,Abasolo S/n Col Centro -  Agamacutiro -  Mich. -  Mexico,Other Accident
7/16/07,Playa Del Carmen -  Quintana Roo -  Mexico,Drowning-POOL
7/17/07,Hwy 15 Km. 138-400 Navojoa-los Mochis -  Navojoa -  Sonora -  Mexico,Veh. Accid-Auto
7/18/07,Carretera Estatal 4 -  Colonia Carranza -  Valle De Mexicali -  Baja California -  Mexico,Veh. Accid-Pedestr.
7/19/07,Hwy 15 Km. 209 Hermosillo-guaymas -  Hermosillo -  Sonora -  Mexico,Veh. Accid-Auto
7/20/07,San Luis De La Paz -  Gto -  Mexico,Other Accident
7/21/07,Carretera 57 -  Km 89 -  Tramo Slp-matehuala -  Guadalcazar Slp -  Mexico,Veh. Accid-Auto
7/21/07,Km 89 -  Highway 57 -  Slp-matehuala Stretch -  Guadalcazar -  Mexico,Veh. Accid-Auto
7/22/07,Las Playas -  Acapulco -  Mexico,Other Accident
7/23/07,Puerto Escondido -  Mexico,Other Accident
7/27/07,Km 4 Carr Mexticacan -  Jalisco -  Mexico,Veh. Accid-Auto
7/27/07,Mexico Monterrey-monclova Hwy -  Camino San Jose De La Popa -  Mina Nuevo Leon,Veh. Accid-Auto
7/28/07,Km. 153 + 500 Hwy Camargo- Ojinaga -  Ojinaga -  Chihuahua,Veh. Accid-Auto
7/28/07,Lomas De Poleo -  Ciudad Juarez -  Chihuahua -  Mexico,Homicide
7/29/07,.izcabalceta 96. Col. San Rafael -  Mexico -  D.f.,Other Accident
7/29/07,Hwy 57 Km 190 + 700 San Rafael -  Galeana -  Nuevo Leon,Veh. Accid-Auto
7/30/07,Guadalajara -  Jalisco -  Mexico,Veh. Accid-Auto
7/30/07,Matomoros-san Fernando Highway -  San Fernando -  Tamaulipas -  Mexico,Veh. Accid-Auto
7/30/07,Mtm-san Fernando Highway -  San Fernando -  Tamaulipas -  Mexico,Veh. Accid-Auto
7/30/07,Rosarito -  Baja California Norte -  Mexico,Suicide
7/31/07,Acapulco -  Gro -  Mexico,Other Accident
7/31/07,Cuidad Netzahualcoyotl -  Mexico Cuidad -  Mexico,Homicide
8/2/07,Av. Gregorio -  Tamulte -  Tab. -  Mexico,Veh. Accid-Auto
8/2/07,Carretera Monterrey-nuevo Laredo Km 149 -  Vallecillo -  Nuevo Laredo -  Mexico.,Veh. Accid-Auto
8/2/07,Monterrey-laredo Hwy Km 148+500 -  Vallecillo -  Nuevo Laredo -  Mexico,Veh. Accid-Auto
8/2/07,Monterrey-laredo Hwy. -  Vallecillo -  Nuevo Leon,Veh. Accid-Auto
8/4/07,Sonoyt-puerto Penasco Hwy -  Km 45 Sonora -  Mexico,Veh. Accid-Auto
8/4/07,Sonoyt-puerto Penasco Hwy -  Km 45 Sonora -  Mexico,Veh. Accid-Auto
8/4/07,Sonoyta Hwy -  Km 45 Sonoyta -  Sonora -  Mexico,Veh. Accid-Auto
8/9/07,Bahia De San Agustin. -  Sta. Ma. Huatulco -  Pochutla -  Oax,Drowning
8/9/07,San Jose Del Cabo -  Baja California Sur -  Mexico,Drowning-OCEAN
8/9/07,Urequio De Panindicuaro -  Mich.,Drowning
8/10/07,Chihuahua-cuidad Juarez Hwy -  Ciudad Juarez -  Chihuahua -  Mexico,Veh. Accid-Auto
8/11/07,Cancun -  Quintana Roo -  Mexico,Drowning
8/14/07,Akumal -  Qunitana Roo -  Mexico,Drowning
8/14/07,Ensendada -  Baja California -  Mexico,Homicide
8/14/07,Playa Del Carmen Hwy And Tulum -  Quintana Roo -  Mexico,Veh. Accid-Auto
8/14/07,Playa Del Carmen Hwy And Tulum -  Quintana Roo -  Mexico,Veh. Accid-Auto
8/14/07,Playa Del Carmen Hwy And Tulum -  Quintana Roo -  Mexico,Veh. Accid-Auto
8/14/07,Playa Del Carmen -  Quintana Roo -  Mexico,Veh. Accid-Auto
8/16/07,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
8/26/07,La Paz -  Baja California Sur -  Mexico,Other Accident
8/29/07,Ciudad Del Carmen -  Campeche -  Mexico,Other Accident
8/31/07,Cozumel -  Quintana Roo -  Mexico,Drowning
8/31/07,Lomas De Plateros -  Mexico,Suicide
9/2/07,Tijuana -  Baja California -  Mexico,Homicide
9/3/07,Cabo San Lucas -  Baja California -  Mexico,DROWNING-BEACH
9/4/07,Rosarito -  Baja California Norte -  Mexico,Drowning
9/6/07,Monterrey -  Nuevo Leon -  Mexico,Veh. Accid-Auto
9/8/07,Ayala -  Mor -  Mexico,Suicide
9/8/07,Jalisco -  Mexico,Homicide
9/9/07,Km 37 -  Hwy 30 Nadadores -  Coahuila -  Mexico,Other Accident
9/15/07,Compostella-chapalilla Freeway -  Km 7+100 -  San Pedro -  Lagunillas -  Nayarit -  Mexico,Veh. Accid-Bus
9/15/07,Compostella-chapalilla Freeway -  Km 7+100 -  San Pedro -  Lagunillas -  Nayarit -  Mexico,Veh. Accid-Bus
9/18/07,Mexicali -  Baja California -  Mexico,Drowning
9/21/07,Hwy 35 Montemorelos-china -  Km 4 -  Montemorelos-tortolas Stretch -  Mexico,Veh. Accid-Auto
9/22/07,Aguascalientes -  Mexico,Homicide
9/23/07,Ensendada -  Baja California Norte -  Mexico,Homicide
9/24/07,Nuevo Laredo -  Tamaulipas -  Mexico,Homicide
10/1/07,Cancun On The Puerto Morelos Hwy Km 333+900; Quintana Roo -  Mexico,Veh. Accid-Auto
10/1/07,Cancun On The Puerto Morelos Hwy Km 333+900; Quintana Roo -  Mexico,Veh. Accid-Auto
10/1/07,Cancun -  Quintana Roo -  Mexico,Veh. Accid-Auto
10/2/07,Blvd. Venustiano Carranza #4036 -  Saltillo -  Coahuila,Veh. Accid-Auto
10/4/07,Quintana Roo -  Mexico,Drowning
10/6/07,Cancun -  Quintana Roo -  Mexico,Drug-Related
10/7/07,Nuevo Laredo -  Tamaulipas -  Mexico,Suicide
10/9/07,Mazatlan -  Sinaloa -  Mexico,Drowning
10/14/07,Highway Soto La Marina -  Tamaulipas -  Mexico,Veh. Accid-Auto
10/16/07,Cozumel -  Quintana Roo -  Mexico,Other Accident
10/20/07,Nogales -  Sonora -  Mexico,Homicide
10/21/07,Solidaridad Y Progreso -  Hermosillo -  Sonora -  Mexico,Veh. Accid-Auto
10/25/07,Ensendada -  Baja California Norte -  Mexico,Veh. Accid-Auto
10/27/07,Chetumal -  Quintana Roo -  Mexico,Suicide
10/30/07,Tijuana -  Baja California -  Mexico,Suicide
11/5/07,Blvd. Bellas Artes -  Tijuana -  Baja California -  Mexico,Veh. Accid-Pedestr.
11/7/07,Matamoros -  Tamaulipas -  Mexico,Veh. Accid-Auto
11/8/07,Punta Negra -  Cancun -  Quintana Roo -  Mexico,Drowning
11/9/07,Costero Blvd Palomas Section -  Puerto Penasco -  Sonora -  Mexico,Veh. Accid-Motorcy.
11/13/07,El Rosario -  El Rosario -  Baja California,Veh. Accid-Auto
11/16/07,Calle Constitucion -  Snata Rosa Jauregui -  Qro -  Mexico,Veh. Accid-Bus
11/16/07,Km 232 Carretera #1 Entre Chapala Y Punta Prieta -  Baja California,Veh. Accid-Auto
11/16/07,Km 232 Carretera #1 Entre Chapala Y Punta Prieta -  Baja California,Veh. Accid-Auto
11/17/07,Carretera Al Sur K 4.5 -  La Paz -  Baja California Sur -  Mexico,Veh. Accid-Motorcy.
11/17/07,Hwy 15 Km 136 Hermosillo-guaymas -  Guaymas -  Sonora -  Mexico,Veh. Accid-Auto
11/17/07,Hwy 15 Km 136 Hermosillo-guaymas -  Guaymas -  Sonora -  Mexico,Veh. Accid-Auto
11/19/07,Tijuana -  Baja California -  Mexico,Homicide
11/21/07,Carretera A Todos Santos Km 2.5 Del Pacifico -  Cabo San Lucas -  Baja California Sur,Veh. Accid-Auto
11/23/07,Granjas Modernas -  Mexico -  D.f.,Homicide
