Date,City,Cause of Death
12/26/13,Kajaki -  Helmand -  Afghanistan,Homicide
1/10/14,Bagram - Parwan,Air Accident
1/17/14,Kabul,Terrorist Action
1/17/14,Kabul,Terrorist Action
1/17/14,Kabul,Terrorist Action
2/10/14,Pol-e Charkhi  - Kabul,Terrorist Action
2/10/14,Pol-e Charkhi - Kabul,Terrorist Action
3/21/14,Kabul,Terrorist Action
4/18/14,Mazar-e Sharif - Balkh,Homicide
4/24/14,Darulaman - Kabul,Terrorist Action
4/24/14,Darulaman - Kabul,Terrorist Action
4/24/14,Darulaman - Kabul,Terrorist Action
7/30/14,Dand  - Kandahar,Terrorist Action
1/14/15,Afghanistan/Pakistan Border,Hostage-related 
1/29/15,Kabul,Terrorist Action
1/29/15,Kabul,Terrorist Action
1/29/15,Kabul,Terrorist Action
5/13/15,Kabul,Terrorist Action
8/22/15,Kabul,Terrorist Action
8/22/15,Kabul,Terrorist Action
8/22/15,Kabul,Terrorist Action
12/21/15,Kabul,Terrorist Action
6/5/16,Helmand Province,Terrorist Action
1/21/18,Kabul City -  Kabul,Terrorist Action
1/21/18,Kabul City -  Kabul,Terrorist Action
1/21/18,Kabul City -  Kabul,Terrorist Action
1/21/18,Kabul City -  Kabul,Terrorist Action
1/14/19,Kabul City -  Afghanistan,Terrorist Action
6/22/10,Albania,Veh. Accid-Auto
6/22/10,Albania,Veh. Accid-Auto
12/17/11,Tepelene -  Albania,Veh. Accid-Auto
11/20/14,Tirana,Veh. Accid-Auto
1/1/05,Hassi Messaoud -  Ouargla -  Algeria,Suicide
1/18/13,Amenas -  Illizi,Terrorist Action
1/20/13,Amenas -  Illizi,Terrorist Action
1/20/13,Amenas -  Illizi,Terrorist Action
12/20/05,Cabinda -  Angola,Suicide
1/12/07,Alvalade Clinic -  Luanda -  Luanda,Homicide
12/12/11,Luanda -  Angola,Drowning
3/25/17,Luanda,Veh. Accid-Auto
3/25/18,Luanda -  Luanda,Drowning
7/7/16,Shoal Bay,Drowning
8/9/16,Shoal Bay,Drowning
7/10/17,At Sea,Drowning
7/21/17,Shoal Bay West -  Shoal Bay,Drowning
10/22/16,White Island Shear Zone -  Antarctica,Other Accident
12/12/18,McMurdo -  Ross Island,Other Accident
12/12/18,McMurdo -  Ross Island,Other Accident
4/19/06,Codrington -  Barbuda,Other Accident
8/3/16,Dickenson Bay -  St. John,Drowning
9/6/16,Valley Church -  St. Mary,Drowning
9/18/16,Dickenson Bay -  St. John,Drowning
12/19/16,Five Islands -  St. John,Drowning
3/4/03,Rio Chimehuin -  Junin De Los Andes -  Argentina,Drowning
3/9/03,Gualeguaychu -  Entre Rios -  Argentina,Other Accident
6/3/03,Vicente Lopez -  Buenos Aires -  Argentina,Homicide
8/27/03,Buenos Aires -  Argentina,Veh. Accident-Auto
2/4/04,Km 577 -  La Cautiva -  Rio 4 -  Prov. Cordoba -  Argentina,Other Accident
9/14/04,Valle De Las Lenas -  Mendoza -  Argentina,Other Accident
7/23/05,Ruta Prov. 16 -  Villa Tulumba -  Cordoba -  Argentina,Veh. Accident-Auto
10/17/05,Cerro Mercedario -  San Juan -  Argentina,Other Accident
12/2/05,Rosario -  Santa Fe -  Argentina,Train Accident
1/22/06,At Sea -  Near Ushuaia -  Tierra Del Fuego -  Argentina,Other Accident
3/6/06,Tunuyan -  Mendoza -  Argentina,Veh. Accident-Auto
4/23/06,San Luis -  Argentina,Veh. Accident-Auto
1/9/07,Route 7 Km 1101 -  Lujan De Cuyo - mendoza -  Argentina,Drowning - River
4/6/07,Buenos Aires -  Argentina,Other Accident
10/10/07,Provincial Route 6 -  Hernando -  Cordoba -  Argentina,Veh. Accid-Auto
10/12/07,Buenos Aires -  Argentina,Other Accident
12/3/07,Buenos Aires -  Argentina,Suicide
6/21/08,Sanmartin And Catamarca -  Salta -  Argentina,Veh. Accident-Auto
7/16/08,Rodriguez -  Argentina,Drowning
1/2/09,Buenos Aires -  Argentina,Suicide
1/25/09,Rio Grande -  Tierra Del Fuego -  Argentina,Veh. Accid-Auto
1/25/09,Rio Grande -  Tierra Del Fuego -  Argentina,Veh. Accid-Auto
3/8/09,San Carlos De Bariloche -  Rio Negro -  Argentina,Other Accident
3/8/09,San Carlos De Bariloche -  Rio Negro -  Argentina,Other Accident
4/13/09,Cordoba -  Argentina,Suicide
10/16/09,Buenos Aires -  Argentina,Suicide
1/31/10,Buenos Aires -  Argentina,Suicide
2/9/10,Tupungato - Mendoza -  Argentina,Veh. Accid-Auto
7/9/10,Cordoba -  Argentina,Drowning
12/27/10,Buenos Aires -  Argentina,Drowning
3/21/11,Puerto Iguazu -  Misiones -  Argentina,Drowning
3/21/11,Puerto Iguazu -  Misiones -  Argentina,Drowning
2/18/12,Salta -  Argentina,Suicide
8/18/12,Rosario -  Santa Fe -  Argentina,Suicide
3/14/13,CABA (Ciudad Autonoma de Buenos Aires) -  Argentina,Suicide
12/2/13,Buenos Aires -  Argentina,Suicide
12/19/13,Neuquen -  Argentina,Other Accident
2/7/14,Mendoza,Other Accident
3/30/14,Buenos Aires,Veh. Accid-Auto
4/25/14,Cordoba,Veh. Accid-Auto
6/26/14,San Javier - Rio Negro,Veh. Accid-Auto
8/2/14,Buenos Aires,Suicide
2/7/15,El Chalten -  Santa Cruz,Drowning
4/15/16,El Calafate,Veh. Accid-Auto
7/8/16,Buenos Aires,Other Accident
11/18/18,San Fernando -  Buenos Aires,Other Accident
1/3/19,Buenos Aires -  Argentina,Suicide
5/17/04,Yerevan -  Armenia,Homicide
4/25/09,Yerevan -  Armenia,Homicide
10/3/10,Vayots Zvor Region -  Armenia,Veh. Accid-Auto
8/3/11,Yerevan -  Armenia,Veh. Accid-Pedestr.
7/17/12,Yerevan -  Armenia,Other Accident
1/30/15,Byurakan -  Aragatsotn Province,Suicide
8/1/15,Tsaghkadzor,Veh. Accid-Other
2/19/17,Jermuk City,Other Accident
10/31/17,Kotayk,Veh. Accid-Auto
7/6/03,Seroe Colorado -  Aruba,Other Accident
7/12/04,Aruba,Drowning
7/12/04,Aruba,Drowning
1/26/05,Oranjestad -  Aruba,Other Accident
2/8/05,Aruba,Drowning
3/12/05,Aruba,Drug-Related
6/8/06,Palm Beach -  Aruba,Veh. Accident-Auto
10/4/06,San Nicolas -  Aruba,Drowning
7/4/12,Oranjestad -  Aruba,Drowning
8/6/12,San Nicolas -  Aruba,Drowning
10/8/02,Great Keppel Island -  Queensland -  Australia,Drowning
11/5/02,Line Reef Off Proserpine -  Queensland -  Australia,Drowning
11/12/02,Sandringham St. -  Sans Souci -  Australia,Veh. Accident-Motorcycle
12/9/02,Jervis Bay -  New South Wales -  Australia,Drowning - Beach
1/1/03,Caves Road -  Quindalup -  Western Australia -  Australia,Veh. Accident-Auto
3/21/03,Bruce Highway -  Behanna Creek -  Queensland -  Australia,Veh. Accident-Auto
